"","Rank","University","Overall_score","Entry_standards","Student_satisfaction","Research_quality","Research_intensity","Academic_services_spend","Facilities_spend","Degree_completion","Student_staff_ratio","Graduate_prospect_outcome","Graduate_prospect_ontrack"
"1",1,"University of Oxford",1000,200,NA,3.34,0.87,2842,599,99.1,10.1,90.4,84.7
"2",2,"University of Cambridge",989,205,NA,3.33,0.95,2718,1043,99.1,11.4,90,86
"3",3,"London School of Economics and Political Science, University of London",963,177,3.98,3.35,0.85,2051,853,96.5,12.4,90.6,83.3
"4",4,"University of St Andrews",947,208,4.3,3.13,0.82,2650,746,95.7,11.1,79.9,79.6
"5",5,"Imperial College London",895,194,3.99,3.36,0.92,2982,755,97.5,11.1,95.1,86.7
"6",6,"Durham University",889,184,4.02,3.14,0.79,2174,1085,96.8,13.5,85.3,82.3
"7",7,"Loughborough University",868,150,4.18,2.95,0.88,1853,1375,93.4,13.5,82.6,83
"8",8,"UCL (University College London)",854,185,3.95,3.22,0.91,2338,325,94.3,10.1,85.3,83.4
"9",9,"University of Warwick",842,162,4.05,3.22,0.83,1643,795,95.1,12.8,83.7,81.5
"10",10,"University of Bath",840,168,4.06,3.17,0.74,1913,703,96,15.1,88.2,85.6
"11",11,"Lancaster University",821,144,4.04,3.15,0.77,2319,1066,93.2,13,78.2,78.7
"12",12,"University of Edinburgh",801,186,3.86,3.18,0.83,1407,808,93.3,11.7,79.6,78.8
"13",13,"University of Manchester",794,165,3.95,3.16,0.78,2542,692,93,13.1,81.3,82.6
"14",13,"University of Exeter",794,157,4.03,3.08,0.82,1594,1191,94.4,15.5,80.2,80.5
"15",15,"University of Southampton",784,152,4.03,3.15,0.9,1978,746,93.2,13.2,80.1,79.7
"16",16,"University of Glasgow",771,199,4.04,3.1,0.84,1862,673,88.2,13.1,78.3,79.1
"17",17,"University of Bristol",768,164,3.97,3.18,0.91,1645,673,95.3,13.4,82.2,80.5
"18",18,"University of York",762,149,4.06,3.17,0.75,1296,603,93.3,13.6,79.6,80
"19",19,"University of Birmingham",754,152,3.92,3.07,0.81,2371,757,94.6,14.7,82.8,81.8
"20",20,"University of Leeds",753,157,3.97,3.13,0.75,2498,406,93.4,13.7,80,79.7
"21",21,"King's College London, University of London",747,166,3.84,3.23,0.8,1984,673,91.3,11.7,85.2,85.5
"22",22,"University of East Anglia UEA",741,133,4.05,3.11,0.75,1789,1044,88.7,13.2,76.6,78.3
"23",23,"Heriot-Watt University",733,171,3.97,3.06,0.82,1795,1491,84.6,17.3,78.2,80.9
"24",24,"University of Nottingham",727,147,3.94,3.09,0.79,1803,938,92.9,14.8,83.6,82
"25",25,"Cardiff University",725,144,3.94,3.27,0.62,1698,709,91.8,13.7,82.5,82.1
"26",26,"University of Sheffield",723,150,4.05,3.17,0.74,1772,520,92.8,14,79.3,77.7
"27",27,"University of Essex",722,117,4.05,3.05,0.82,1950,1469,86.8,15.5,71,75
"28",28,"University of Dundee",721,179,4.1,3.03,0.68,1881,597,89,14.5,81.2,83.1
"29",29,"Swansea University",720,132,4.08,3.09,0.71,1558,687,89.4,14.8,79.6,78.9
"30",30,"University of Strathclyde",715,198,4.02,3.04,0.84,1448,489,89.6,18.9,81,79.5
"31",30,"University of Liverpool",715,140,4.03,3.06,0.7,2086,539,91.3,13.9,77.5,80
"32",32,"Royal Holloway, University of London",714,131,4.04,3.09,0.77,1875,834,91.2,15.1,70.6,74.9
"33",33,"Harper Adams University",711,121,4.13,2.66,0.23,1891,1939,91.8,14.2,69.8,87.5
"34",34,"Queen's University Belfast",710,147,3.94,2.99,0.95,1558,820,90.9,14.6,82.6,80.7
"35",35,"University of Surrey",709,138,3.95,2.98,0.73,1926,725,89.3,16.7,84.3,83.9
"36",36,"University of Reading",696,124,3.96,3.03,0.83,1890,844,91.4,16.4,76.9,78.4
"37",37,"Newcastle University",695,144,3.96,3.09,0.8,1790,530,94,14.9,78.4,79.4
